0,0,0,0,0,0,0,0x8BA8107B55EFDA0,0
35,0x299B88D98362D2D0,0x294D3A1D40254F18,5,0x71804C7BBBAAD1F6,0x304CAA23A8E24278,0x1E0ACA21E6C6E00C,0x73A57F5F2565AC51,0
36,0x17EC151B83ED787C,0x3D6C32321B14C333,5,0x5FB1BDDFEF22FC62,0x4C84965D6D12A705,0x37CA29310542D08E,0x17973DAB722356FE,0
37,0x91E994550EABB74,0x539A6DF88056CA46,5,0x403BF319C5B8AA47,0x2FE91BB302563C57,0x6CFF9F8C30192558,0x1CF4C542778C9745,0
38,0x32430FAC26803370,0x449FCEA4BF0FE73D,5,0x4C3C3AFFA43F9F08,0x3B46377A4B6FB2BE,0x7DB4297DC4736E7F,0x6EEA40459827B86,0
39,0xF509E6DEEE4C19E,0x5F78D22CA7426B19,5,0x66F86D062E57A06B,0x1B9A630B78EBA522,0x512B329B0603295F,0x3F9BA286E92137DD,0
40,0x74B6C10A06BDE65A,0x7254ECCB3F5E84D2,5,0x10F2C3998C0EFE9C,0x690DE56B04057913,0x5F61B89B6D2A2AD3,0x33FD6FBEA2E1D112,0
41,0x2F83641330422E2,0x5434E66474F7F9,5,0x173E56CB34460575,0x6D692E026EDE5830,0x3BD72103B95EB93E,0x19CDB54BB392DB3F,0
42,0x426713ED3815705A,0xAD777E4C10C7C6D,5,0x2BD95491D08078A3,0x5CA3004CFBC713C4,0x12A1BB4BE79BB684,0x70D4E38A66F99086,0
43,0x4E0D40B238EEED47,0x6E729FAE5982AAB4,5,0x392EE0534ADCEFE8,0x4B735F945CA5D5B5,0x1970343201F6D4B2,0x500EC14CBDAE7C8A,0
44,0x69FF5F803DFC06A9,0x47645464D568CF2A,5,0x26AA9CF1B9F61E70,0x47AA6679EFD7B139,0x3B25D69F938AF30C,0x5BFD15FB1C1FB736,0
45,0xEDD3BCFFB60C1B6,0x130C7DC84AB67B84,5,0x46A88CF34BC4309F,0x6B018AC14C58CEF1,0x718F05B5FD44A07E,0xCCE5E38CA00479D,0
46,0x39D935753BAE0D41,0x421B538CADA50A5A,5,0x71B8E34A1AD838F8,0x1464F272733FF5DD,0x61993E47134677E2,0x69A54125CF436285,0
47,0xB531C0D1CC16A29,0x5757938D8915A53B,5,0x36A1F1959AE7445E,0x6B343B91A61E9CFB,0x2D553B0CD6606D50,0x681796BA77F0A02B,0
48,0x68776ECCCB800298,0xFA023A3B9CDCF4E,5,0x3A2C1B5B8901CB5B,0x383D73E35A0C6D17,0x4F81CD91028CE8D2,0x2744901D51719355,0
49,0x11B983E31F2F4BB3,0x5458A4D5DDF3D140,5,0x62C4E16F8E76865,0x13789354A310A729,0x4605553E8458607E,0x75C3033C8B4CABC7,0
50,0x3E3741EA2DFE66E9,0x468F73CE612FA546,5,0x46A88BF34BC42EEC,0x661627BDCF8BA725,0xA77C3DD233743EB,0x58E366E5DFA6F45C,0
51,0x41E5B8F341A335FB,0x7D0C5F0C4150DFA7,5,0x173E55CB344603C2,0x4C84905D6D129CD3,0x51037CE3C3594BC,0x2CD7F6DCA1CE1D14,0
52,0x45D58A37390D51E,0x72A720D6457653DD,5,0x1C68FBE2A42D2B26,0x3B46387A4B6FB471,0x70D4E48A66F99239,0x4AEC80D782B89CF5,0
53,0xBFC27B14FB7DCDE,0xB210FE44957138C,5,0x67E2E956F75DF47A,0x3035A5F29811A3F9,0x12B2C63EC1A158F5,0x258A122C083B5FC9,0
54,0x61F8F3C165782607,0x27B8C0E936886E44,5,0x392EE1534ADCF19B,0x2FE91AB302563AA4,0x19CDB44BB392D98C,0x1CF4C442778C9592,0
55,0x6021B8A610E24192,0x3006D70B5935F068,5,0x37ADF828F2A9ECFE,0x5F4B951CC4725FE2,0x1464F172733FF42A,0x24B8C6CE81FDEAD6,0
56,0x75A269C740708F67,0x54D1129E6F05E329,5,0x9CB2E05C8C9E32D,0x5CA3014CFBC71577,0x2757AEE498DA350F,0x65AE5FABB9C13D6C,0
57,0x313569F1CBEBC2AC,0x53CF2A619240CA8E,5,0x61A2B2E6028A56E8,0x73579FBF50AE9CB6,0x48C09600FE06DBA9,0x500EC24CBDAE7E3D,0
58,0x479A42833E2E74FA,0x3A7EAC7103EAF6D1,5,0x10F2C4998C0F004F,0x6D692F026EDE59E3,0x6BF229ECA4BB8729,0x6B343A91A61E9B48,0
59,0xCD237F1803EEDB2,0x64E6EB42877D8917,5,0x4EF7534CA1C8F27B,0x5F20E4F510B85F5E,0x479A90D3F970186D,0x3837599602E870C,0
60,0x5669012BAE4981F7,0x7E73C9D426DD6494,5,0x457A3DB89D8CBEF7,0x47AA6579EFD7AF86,0x681795BA77F09E78,0x369BB5D15D4B680D,0
61,0x7161C5E1BA761C08,0x8E7BF59B6AF558F,5,0x76BF58F08A08D598,0x76BF5BF08A08DAB1,0x76BF5AF08A08D8FE,0x76BF5DF08A08DE17,0
62,0x10F4C85ABDD34276,0x7D31727E9379F9DB,5,0x734F1D49F5395C1,0x734EED49F5390A8,0x734EFD49F53925B,0x734F4D49F539ADA,0
63,0x401949BDF4D72B6,0x33747316927F2531,5,0x777767B99C350232,0x777766B99C35007F,0x777765B99C34FECC,0x777764B99C34FD19,0
64,0x5EC60FEDC8B18A26,0x7339A9EE8DBC7AFB,5,0x24ABAA59AAFA466B,0x24ABAB59AAFA481E,0x24ABAC59AAFA49D1,0x24ABAD59AAFA4B84,0
65,0x28C5A2C6DCBD50FD,0x6318610646067E76,5,0x3D9159BFDB045054,0x3D915CBFDB04556D,0x3D915BBFDB0453BA,0x3D9156BFDB044B3B,0
66,0x78CEBDE218F58AAD,0x57A670F822F71EC6,5,0x3A26C6202D86ED8D,0x3A26C3202D86E874,0x3A26C4202D86EA27,0x3A26C1202D86E50E,0
67,0x286D568D39E8AF39,0x1E91F93C0DD49BFC,5,0x7208E21496453ACE,0x7208E1149645391B,0x7208E01496453768,0x7208E7149645434D,0
68,0x13C2E2D874898375,0x629FAAED5BB1E6FC,5,0x64F7D07880A0DC03,0x3B46357A4B6FAF58,0x64D75A7EC139FDF7,0x27448E1D51718FEF,0
69,0x438D00733518E71F,0x4314459083298496,5,0x1239A476BE0AB35D,0x6BE4FC5F3E98048C,0x7ADB8F843B82A52A,0x50513027398440DB,0
70,0x377456F41B6628C4,0x5A77F00A21E5376B,5,0x3CD0E341588351DF,0x1970323201F6D14C,0x1355B2BC41E3A3D6,0x380D0317D7CAF20,0
71,0x474EA450D2123F71,0x643AEFB38174C1B2,5,0x179742AB72235F7D,0x173E54CB3446020F,0x6016B0A57E1CD493,0x10E2902D2D4FFCC,0
72,0x78A1021A6EC32F7B,0x16AD426EB2CE19F4,5,0x5004DEE0210EF879,0x4234FB2534D8A2D7,0x5BFD13FB1C1FB3D0,0x3EAB9AFB4F03DAB0,0
73,0x168B19E423AE984D,0x74412C1013067B7C,5,0x515C3EC5C8A5D793,0x38D5B7C2DB747144,0x61993C471346747C,0x6BF226ECA4BB8210,0
74,0x3E3D23D3F5FBC312,0x6D4C50305D8B07B1,5,0x73D936B41C0E7DB3,0x5F4B941CC4725E2F,0x392EE2534ADCF34E,0x24B8C5CE81FDE923,0
75,0x6B4D446256D10ED,0x24D4DFBE2E1A2696,5,0x71B8E54A1AD83C5E,0xA367DF14EAE87F0,0x16E0A7B81C1BE41E,0x42D584C6DC3908BB,0
76,0x2E6CC907555359BA,0x52E0A55298ABD95B,5,0x565DC844D8939160,0x15512193D31AF0CC,0x4F81CB91028CE56C,0x7EF1A1BD8A7AAEA7,0
77,0x11BA9250B344F340,0x311F05B364C095AF,5,0x5149C3617E49007F,0x21A608644AE7AFCC,0x1464F072733FF277,0x36A1EF959AE740F8,0
78,0x5DEE085124B861E,0x323BAFC9E346C6A3,5,0x41D7899E04E68759,0x44978E0160DC6C6,0x16E0ECAB9E84E4B9,0x6B343D91A61EA061,0
79,0x7DFC3458CAFE6C8C,0x72603D2E26A87898,5,0x10F2C5998C0F0202,0x1FAD15FFD7086711,0x1C68FAE2A42D2973,0x778662DB221C6D9F,0
